"","Human","CLUMP","FEATURE","MAXIMA","MEDIAL","SHAPE","SHAPE.angularity","SHAPE.angularity.amplitude","SHAPE.angularity.count","SHAPE.angularity.max","SHAPE.angularity.mean","SHAPE.angularity.median","SHAPE.angularity.mid","SHAPE.angularity.min","SHAPE.angularity.stdev","SHAPE.angularity.variation","SHAPE.area","SHAPE.aspectRatio","SHAPE.circularity","SHAPE.curvature","SHAPE.feret","SHAPE.feret.max","SHAPE.feret.min","SHAPE.length","SHAPE.morphology","SHAPE.orientation","SHAPE.perimeter","SHAPE.pole","SHAPE.roundness","SHAPE.sinuosity","SHAPE.solidity","SHAPE.width","SHAPE.width.amplitude","SHAPE.width.count","SHAPE.width.max","SHAPE.width.mean","SHAPE.width.median","SHAPE.width.mid","SHAPE.width.min","SHAPE.width.stdev","SHAPE.width.variation","EXPERIMENT"
"226","0",1,1,3,1,1,0.15105982,0.88576204,90,0.47071388,0.15105982,0.124698155,0.2008151,0,0.12636758,0.83654,5.991513,5.4850426,0.26399994,0.060128424,7.6824555,7.6824555,1.4006191,7.8738866,1,144.50652,16.88773,2,0.12925474,1.0373081,0.7550386,0.7867726,0.80479646,100,1.3281815,0.7867726,0.7166092,0.6278359,0.52338505,0.217522,0.2764738,"A4"
"227","9",1,1,2,1,1,0.07902797,0.52318263,79,0.3652162,0.07902797,0.061223514,0.071660824,0,0.07330426,0.92757356,4.5136566,6.2634606,0.252672,0.022481512,7.002036,7.002036,1.1179181,7.0871253,1,172.55806,14.982719,2,0.11721683,1.0193592,0.7027611,0.6505083,0.2714188,89,0.7988028,0.6505083,0.67253304,0.580233,0.527384,0.069501765,0.10684224,"A4"
"228","0",1,0,1,1,1,0.16669162,0.4270602,18,0.31319442,0.16669162,0.19024168,0.2607508,0.020639086,0.09830778,0.5897584,1.843608,2.7809741,0.5976427,0.35487366,2.7346175,2.7346175,0.9833308,2.7196167,1,70.1419,6.2261333,2,0.31389582,1.0403832,0.9132768,0.73804224,0.28757668,28,0.89668477,0.73804224,0.68286467,0.68599683,0.6091081,0.108152576,0.14653982,"A4"
"229","9",1,0,2,1,1,0.08228103,0.37602678,84,0.29083064,0.08228103,0.051388383,0.028748443,0,0.08498429,1.032854,4.778994,4.4139466,0.24544778,0.15057649,7.1105895,7.1105895,1.610937,7.4687405,1,162.7079,15.642048,2,0.12034703,1.0815382,0.5791492,0.65640986,0.15510046,94,0.7140979,0.65640986,0.6693545,0.68563056,0.55899745,0.04215918,0.06422692,"A4"
"230","9",1,0,1,1,1,0.061114054,0.21477224,62,0.12388211,0.061114054,0.06634062,0.03293148,0,0.032746565,0.53582704,3.5121906,6.981622,0.30675247,0.021392416,5.667417,5.667417,0.8117622,5.6381397,1,48.075485,11.994991,2,0.1392252,1.0029576,0.8890441,0.641059,0.108934164,70,0.69152,0.641059,0.6430145,0.61893237,0.5825858,0.026594147,0.04148471,"A4"
"231","9",1,0,4,1,1,0.08881258,1.3243122,169,1.2036091,0.08881258,0.031302277,0.026613709,0,0.19592102,2.206005,7.694911,2.4091117,0.12682056,0.3005729,8.536407,8.536407,3.5433838,13.280042,1,113.32585,27.612892,2,0.13445082,2.6681035,0.400808,0.64576775,6.8921146,177,7.364949,0.64576775,0.5729784,0.51764894,0.4728345,0.5619506,0.8702054,"A4"
"232","9",1,1,2,1,1,0.1333836,0.5161102,77,0.4629807,0.1333836,0.06913061,0.2581691,0,0.13586803,1.0186262,4.0631514,1.480029,0.25393903,0.5106665,4.300929,4.300929,2.9059763,6.7422748,1,48.200676,14.179852,2,0.2796717,1.7904404,0.4692619,0.6182131,0.17444217,85,0.70068204,0.6182131,0.6134746,0.6645025,0.5262399,0.044679075,0.07227132,"A4"
"233","9",1,0,2,1,1,0.05395904,0.17358743,33,0.12666687,0.05395904,0.048099104,0.03666074,0,0.03465448,0.64223677,2.3029988,4.430149,0.43351817,0.13589908,3.7452226,3.7452226,0.8453942,3.7586043,1,82.21865,8.17049,2,0.20904922,1.0143028,0.89918894,0.6474892,0.22345775,43,0.73100793,0.6474892,0.6501808,0.65049696,0.5075502,0.045874357,0.07084961,"A4"
"234","9",1,1,2,1,1,0.069042966,0.45474905,133,0.33005527,0.069042966,0.04944187,0.04740138,0,0.0684045,0.9907527,6.890658,3.0484753,0.17614217,0.17288242,9.394272,9.394272,3.08163,10.751318,1,120.59862,22.171934,2,0.099413306,1.1592702,0.38732395,0.6532247,0.16743886,141,0.73038894,0.6532247,0.65045285,0.68851066,0.5629501,0.0428708,0.06562948,"A4"
"235","9",1,0,2,1,1,0.038289215,0.29554835,131,0.18276961,0.038289215,0.028281868,0.06122449,0,0.03791751,0.99029213,6.487864,7.9795117,0.1691242,0.026335958,10.574689,10.574689,1.3252301,10.665069,1,75.66206,21.955986,2,0.073871456,1.0146042,0.66443956,0.6199265,0.26170838,139,0.7924241,0.6199265,0.6073708,0.55827445,0.5307157,0.06932715,0.11183124,"A4"
